Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"209654","","","None","192.168.30.250","tcp","0","OS Fingerprints Detected","Multiple OS fingerprints were detected.","Using a combination of remote probes (TCP/IP, SMB, HTTP, NTP, SNMP, etc), 
it was possible to gather one or more fingerprints from the remote system. 
While the highest-confidence result was reported in plugin 11936, “OS Identification”, 
the complete set of fingerprints detected are reported here.","n/a","","
Following OS Fingerprints were found

Remote operating system : Linux Kernel 3.1
Confidence level : 56
Method : MLSinFP
Type : unknown
Fingerprint : unknown

Remote operating system : Linux Kernel 4.8
Confidence level : 50
Method : ICMP
Type : 
Fingerprint : ICMP::1:1:0:64:1:64:1:0:::0::1:>64:64:0:1:1:2:1:1:1:1:0:64:31856:MSTNW:7:1:1

Remote operating system : Linux Kernel 2.6
Confidence level : 65
Method : SinFP
Type : general-purpose
Fingerprint : SinFP:
   P1:B10113:F0x12:W32120:O0204ffff:M1460:
   P2:B10113:F0x12:W31856:O0204ffff0402080affffffff4445414401030307:M1460:
   P3:B00000:F0x00:W0:O0:M0
   P4:191003_7_p=22

Following fingerprints could not be used to determine OS : 
 SSH:!:SSH-2.0-OpenSSH_8.7
HTTP:!:Server: Apache/2.4.57 (Rocky Linux)

"
"10114","CVE-1999-0524","2.1","Low","192.168.30.253","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","This host returns non-standard timestamps (high bit is set)
"
"10281","","","None","192.168.30.253","tcp","23","Telnet Server Detection","A Telnet server is listening on the remote port.","The remote host is running a Telnet server, a remote terminal
server.","Disable this service if you do not use it.","","Here is the banner from the remote Telnet server :

------------------------------ snip ------------------------------


Password required, but none set

------------------------------ snip ------------------------------
"
"10287","","","None","192.168.30.253","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.30.150 to 192.168.30.253 : 
192.168.30.150
192.168.30.253

Hop Count: 1
"
"11219","","","None","192.168.30.253","tcp","23","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 23/tcp was found to be open"
"11936","","","None","192.168.30.253","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : CISCO IOS 12.1
CISCO IOS 12.4
Confidence level : 59
Method : SinFP

 
The remote host is running one of these operating systems : 
CISCO IOS 12.1
CISCO IOS 12.4"
"14788","","","None","192.168.30.253","tcp","0","IP Protocols Scan","This plugin detects the protocols understood by the remote IP stack.","This plugin detects the protocols understood by the remote IP stack.","n/a","http://www.iana.org/assignments/protocol-numbers/protocol-numbers.xhtml","The following IP protocols are accepted on this host:
1	ICMP
6	TCP
17	UDP
47	GRE
50	ESP
51	AH
53	SWIPE
55	MOBILE
77	SUN-ND
88	EIGRP
"
"19506","","","None","192.168.30.253","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.8.3
Nessus build : 20010
Plugin feed version : 202503080116
Scanner edition used : Nessus Home
Scanner OS : LINUX
Scanner distribution : debian10-x86-64
Scan type : Normal
Scan name : Descubrimiento Vulnerabilidades
Scan policy used : Basic Network Scan
Scanner IP : 192.168.30.150
Port scanner(s) : nessus_syn_scanner 
Port range : 1-65535
Ping RTT : 164.259 ms
Thorough tests : yes
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : enabled
Web application tests : enabled
Web app tests -  Test mode : all_pairs
Web app tests -  Try all HTTP methods : yes
Web app tests -  Maximum run time : 10 minutes.
Web app tests -  Stop at first flaw : param
Max hosts : 30
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2025/3/8 17:39 CST (UTC -06:00)
Scan duration : 414 sec
Scan for malware : no
"
"42263","","5.8","Medium","192.168.30.253","tcp","23","Unencrypted Telnet Server","The remote Telnet server transmits traffic in cleartext.","The remote host is running a Telnet server over an unencrypted
channel.

Using Telnet over an unencrypted channel is not recommended as logins,
passwords, and commands are transferred in cleartext. This allows a 
remote, man-in-the-middle attacker to eavesdrop on a Telnet session to
obtain credentials or other sensitive information and to modify
traffic exchanged between a client and server.

SSH is preferred over Telnet since it protects credentials from
eavesdropping and can tunnel additional data streams such as an X11
session.","Disable the Telnet service and use SSH instead.","","
Nessus collected the following banner from the remote Telnet server :

------------------------------ snip ------------------------------


Password required, but none set

------------------------------ snip ------------------------------
"
"45590","","","None","192.168.30.253","tcp","0","Common Platform Enumeration (CPE)","It was possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.","n/a","http://cpe.mitre.org/
https://nvd.nist.gov/products/cpe","
The remote operating system matched the following CPE's : 

  cpe:/o:cisco:ios:12.1 -> Cisco IOS
  cpe:/o:cisco:ios:12.4 -> Cisco IOS
"
"54615","","","None","192.168.30.253","tcp","0","Device Type","It is possible to guess the remote device type.","Based on the remote operating system, it is possible to determine
what the remote system type is (eg: a printer, router, general-purpose
computer, etc).","n/a","","Remote device type : router
Confidence level : 59
"
"86420","","","None","192.168.30.253","tcp","0","Ethernet MAC Addresses","This plugin gathers MAC addresses from various sources and
consolidates them into a list.","This plugin gathers MAC addresses discovered from both remote probing
of the host (e.g. SNMP and Netbios) and from running local checks
(e.g. ifconfig). It then consolidates the MAC addresses into a single,
unique, and uniform list.","n/a","","The following is a consolidated list of detected MAC addresses:
  - AA:BB:CC:80:04:00
"
"209654","","","None","192.168.30.253","tcp","0","OS Fingerprints Detected","Multiple OS fingerprints were detected.","Using a combination of remote probes (TCP/IP, SMB, HTTP, NTP, SNMP, etc), 
it was possible to gather one or more fingerprints from the remote system. 
While the highest-confidence result was reported in plugin 11936, “OS Identification”, 
the complete set of fingerprints detected are reported here.","n/a","","
Following OS Fingerprints were found

Remote operating system : CISCO IOS 12.2
Confidence level : 56
Method : MLSinFP
Type : unknown
Fingerprint : unknown

Remote operating system : CISCO IOS 12.2
Confidence level : 50
Method : ICMP
Type : 
Fingerprint : ICMP::1:S:1:255:1:255:S:0:::0::1:8:255:0:1:1:2:1:1:1:0:1:255:4128:M:N:N:N

Remote operating system : CISCO IOS 12.1
CISCO IOS 12.4
Confidence level : 59
Method : SinFP
Type : router
Fingerprint : SinFP:
   P1:B11013:F0x12:W4128:O0204ffff:M536:
   P2:B11013:F0x12:W4128:O0204ffff:M1460:
   P3:B00000:F0x00:W0:O0:M0
   P4:191003_7_p=23
"
